my.39.net                     	219.238.238.93
www5d.39.net                  	219.238.238.55
kk.39.net                     	219.238.238.55
search.39.net                 	219.238.238.41
www.39.net                    	219.238.238.114
nn.39.net                     	121.201.48.8
new.39.net                    	219.238.238.103
corp.39.net                   	219.238.238.37
news.39.net                   	121.201.48.8
mail.39.net                   	219.136.207.74
s.39.net                      	121.14.241.90
member.39.net                 	219.238.238.54
woman.39.net                  	218.6.154.130, 122.13.81.29, 122.13.67.12, 14.215.133.163, 61.136.166.71, 171.111.153.112, 61.189.0.166, 180.97.171.7, 125.88.158.144
manage.39.net                 	219.238.238.54
shop.39.net                   	211.100.29.198
man.39.net                    	112.90.224.3
jingyan.39.net                	219.238.238.58
ns1.39.net                    	219.238.238.39
passport.39.net               	219.238.238.57
sms.39.net                    	219.238.238.57
cms.39.net                    	59.42.249.72
m.39.net                      	219.238.238.114
gm.39.net                     	112.90.224.3
monitor.39.net                	121.201.48.13
img.39.net                    	112.90.224.10, 112.90.224.5, 112.90.224.6
api.39.net                    	59.42.249.70
hr.39.net                     	219.238.238.36
d.39.net                      	112.90.224.6, 112.90.224.10, 112.90.224.5
pay.39.net                    	59.42.249.85
union.39.net                  	219.238.238.35
live.39.net                   	121.14.241.72
asp.39.net                    	121.11.66.157
login.39.net                  	59.42.249.79
so.39.net                     	121.14.241.93
photo.39.net                  	59.42.249.76
t.39.net                      	219.238.238.98
publish.39.net                	59.42.249.79
3g.39.net                     	219.238.238.58
happy.39.net                  	219.238.238.35
r.39.net                      	219.238.238.30, 219.238.238.62
community.39.net              	121.14.241.93
card.39.net                   	219.129.20.8
2011.39.net                   	219.238.238.81
photo-man.39.net              	59.42.249.72
amway.39.net                  	219.238.238.81
nokia.39.net                  	219.238.238.38
ats.39.net                    	121.14.241.83, 121.14.241.82
ns4.39.net                    	219.238.238.41
test.39.net                   	219.238.238.153
cu.39.net                     	121.14.241.72
hub.39.net                    	60.195.253.124
project.39.net                	219.136.207.78
crm.39.net                    	219.238.238.42
tz.39.net                     	60.195.253.124
ww.39.net                     	219.238.238.103
ns3.39.net                    	219.238.238.71
ns5.39.net                    	59.42.249.66
oa.39.net                     	121.11.66.154
svn.39.net                    	219.238.238.48
image.39.net                  	14.215.133.163, 61.189.0.166, 180.97.171.7, 171.111.153.112, 218.6.154.130, 122.13.67.12, 122.13.81.29, 125.88.158.144, 61.136.166.71
wt.39.net                     	121.12.110.36, 121.12.110.13
rtx.39.net                    	219.238.238.60
show.39.net                   	219.238.238.47
dx.39.net                     	121.12.110.36, 121.12.110.13
jl.39.net                     	59.42.249.85
count.39.net                  	219.238.238.60
xy.39.net                     	112.90.22.133, 112.90.22.155
i2.39.net                     	59.42.249.80
robot.39.net                  	219.238.238.45
i1.39.net                     	59.42.249.73
oa2.39.net                    	219.238.238.47
bbs2.39.net                   	219.238.238.45
100.39.net                    	121.14.241.67
i3.39.net                     	219.238.238.43
i4.39.net                     	59.42.249.73
api.my.39.net                 	219.238.238.25
bbs.test.39.net               	219.238.238.46
m.test.39.net                 	219.238.238.153
blog.test.39.net              	219.238.238.53
admin.wt.39.net               	121.201.48.11
