www.747.cn                    	122.112.12.158
app.747.cn                    	122.112.12.162
mail.747.cn                   	115.25.209.124, 115.25.209.74
dev.747.cn                    	118.194.167.164
store.747.cn                  	122.112.12.162
new.747.cn                    	118.194.167.163
online.747.cn                 	122.112.12.145
m.747.cn                      	10.0.2.17
api.747.cn                    	122.112.12.165
wifi.747.cn                   	122.112.12.145
ftp.747.cn                    	182.92.4.183
wiki.747.cn                   	192.168.1.240
git.747.cn                    	122.112.12.146
x.747.cn                      	118.194.167.163
boss.747.cn                   	10.0.2.17
ota.747.cn                    	122.112.12.130
testapi.747.cn                	122.112.12.6
