www.huawei.com                	222.23.55.200
club.huawei.com               	118.194.60.212
mail.huawei.com               	119.145.14.75
app.huawei.com                	58.251.152.132
support.huawei.com            	218.199.110.70
e.huawei.com                  	218.199.110.71
forum.huawei.com              	42.48.110.14
store.huawei.com              	119.145.9.159
shop.huawei.com               	223.202.31.171
data.huawei.com               	211.100.15.165
partner.huawei.com            	182.50.78.49, 182.50.78.176
it.huawei.com                 	10.78.208.59
is.huawei.com                 	61.144.161.101
open.huawei.com               	205.177.226.80
m.huawei.com                  	119.145.14.118
wap.huawei.com                	119.145.14.126
dev.huawei.com                	122.11.38.211
api.huawei.com                	58.251.128.200
ap.huawei.com                 	203.82.64.150
d.huawei.com                  	58.251.152.47
adt.huawei.com                	58.251.153.78
hosting.huawei.com            	119.145.9.202
ris.huawei.com                	58.251.153.179
c.huawei.com                  	119.145.15.111
multimedia.huawei.com         	119.145.14.124
sps.huawei.com                	58.251.152.124
download.huawei.com           	222.198.122.5, 115.156.188.148
3g.huawei.com                 	211.100.15.172
developer.huawei.com          	122.11.38.211
ftp.huawei.com                	219.133.0.27
mobile.huawei.com             	210.21.230.60
pr.huawei.com                 	205.177.226.67
easy.huawei.com               	187.93.127.101
www1.huawei.com               	42.232.89.50
vpn.huawei.com                	58.251.152.125
sec.huawei.com                	119.145.15.106
cd.huawei.com                 	58.251.152.47
security.huawei.com           	61.144.161.100
mx1.huawei.com                	119.145.14.94
enterprise.huawei.com         	218.199.110.70
imail.huawei.com              	184.150.237.194
pk.huawei.com                 	202.125.152.170
terminal.huawei.com           	210.21.230.60
wa.huawei.com                 	119.145.14.95
consumer.huawei.com           	119.145.15.111
exchange.huawei.com           	218.17.215.163
bugzilla.huawei.com           	58.251.152.49
b2b.huawei.com                	210.21.230.24
smtp.huawei.com               	58.251.152.75
sip.huawei.com                	119.145.15.165, 119.145.15.198, 58.251.153.168, 58.251.153.198
cloud.huawei.com              	118.194.56.13
av.huawei.com                 	119.145.15.193, 58.251.153.201
mx2.huawei.com                	58.251.152.94
ent.huawei.com                	202.104.151.211
localhost.huawei.com          	127.0.0.1
css.huawei.com                	195.68.180.141
edm.huawei.com                	142.0.160.10
rms.huawei.com                	58.251.153.204
mx3.huawei.com                	206.16.17.185
market.huawei.com             	119.145.14.121
learning.huawei.com           	119.145.14.118
mx4.huawei.com                	194.213.3.170
air.huawei.com                	58.251.152.128
scm.huawei.com                	58.251.152.45
uc.huawei.com                 	58.251.153.80
geo.huawei.com                	94.125.27.3
ecs.huawei.com                	58.251.152.252
friends.huawei.com            	119.145.14.136
scs.huawei.com                	58.251.152.134
tcs.huawei.com                	219.134.130.60
tts.huawei.com                	57.66.76.20
wap1.huawei.com               	119.145.14.126
lic.huawei.com                	58.251.153.48
forum.open.huawei.com         	205.177.226.78
mail.ap.huawei.com            	203.82.64.150
app.edm.huawei.com            	142.0.160.14
