www.net.cn                    	42.156.140.7
blog.net.cn                   	98.126.8.10, 98.126.8.11
es.net.cn                     	45.35.36.164
mvn.net.cn                    	174.139.7.227
kk.net.cn                     	107.167.19.74, 107.167.19.75
ss.net.cn                     	113.106.88.88
user.net.cn                   	14.18.142.95, 218.58.225.95
new.net.cn                    	23.27.192.117
a.net.cn                      	107.167.19.74, 107.167.19.75
1www.net.cn                   	210.51.50.46
club.net.cn                   	70.39.84.229
corp.net.cn                   	121.42.100.57
host.net.cn                   	121.201.9.74
class.net.cn                  	121.37.60.175
info.net.cn                   	218.91.233.105
home.net.cn                   	115.29.152.1
k3.net.cn                     	202.134.77.28
cs.net.cn                     	113.105.65.226
h3.net.cn                     	125.88.190.6
forum.net.cn                  	119.147.216.112
cp.net.cn                     	42.200.35.139, 42.200.34.249
k5.net.cn                     	98.126.8.10, 98.126.8.11
app.net.cn                    	211.147.224.141
news.net.cn                   	124.16.31.154
de.net.cn                     	58.96.186.30
homepage.net.cn               	45.32.250.109
pay.net.cn                    	111.221.108.96
order.net.cn                  	223.7.177.134
help.net.cn                   	121.198.66.128
ff.net.cn                     	139.129.140.150
mpk.net.cn                    	42.200.34.249, 42.200.35.139
games.net.cn                  	72.52.10.14
k4.net.cn                     	121.40.84.139
st.net.cn                     	103.238.225.167
rr.net.cn                     	70.39.84.250
office.net.cn                 	182.92.100.80
support.net.cn                	211.161.3.74
karen.net.cn                  	59.188.255.135
univ.net.cn                   	198.148.92.55, 198.148.92.59
econ.net.cn                   	139.129.175.56
u.net.cn                      	122.0.64.159
radio.net.cn                  	202.104.188.50
opera.net.cn                  	202.104.151.67
services.net.cn               	58.18.137.35
ae.net.cn                     	198.148.92.49, 198.148.92.50
cse.net.cn                    	219.153.43.3
cis.net.cn                    	203.93.96.181
honda.net.cn                  	111.221.108.96
shop.net.cn                   	210.209.85.37
ue.net.cn                     	119.10.51.68
media.net.cn                  	70.39.84.233
tuan.net.cn                   	113.10.190.203
woman.net.cn                  	70.39.84.250
pp.net.cn                     	198.148.92.50, 198.148.92.49
lab.net.cn                    	113.10.190.137
bto.net.cn                    	67.198.175.219
v.net.cn                      	124.16.31.154
maven.net.cn                  	114.215.201.67
seo.net.cn                    	123.57.61.23
hyundai.net.cn                	65.19.157.232
science.net.cn                	202.99.42.136
f3.net.cn                     	112.126.189.33
hd.net.cn                     	114.113.151.84
f2.net.cn                     	23.234.27.100
video.net.cn                  	121.101.210.132
mzk.net.cn                    	121.201.9.82
tools.net.cn                  	222.35.138.254
pup.net.cn                    	174.139.7.227
tv.net.cn                     	203.171.231.149
atv.net.cn                    	203.171.231.149
leonardo.net.cn               	118.193.247.33
dia.net.cn                    	23.234.27.100
portal.net.cn                 	115.29.250.68
track.net.cn                  	121.42.118.81
csse.net.cn                   	112.124.184.216
uml.net.cn                    	42.121.0.129
fa.net.cn                     	211.100.61.177
it.net.cn                     	58.221.61.82
