passport.pps.tv               	123.125.111.87
www.pps.tv                    	115.25.211.13, 115.25.211.17
club.pps.tv                   	211.151.142.110
i.pps.tv                      	211.151.142.33
a.pps.tv                      	10.77.0.199
news.pps.tv                   	211.151.142.112
mail.pps.tv                   	202.108.14.100
app.pps.tv                    	211.151.142.114
help.pps.tv                   	115.25.211.13, 115.25.211.17
admin.pps.tv                  	211.151.142.116
ns1.pps.tv                    	111.206.22.97
baidu.pps.tv                  	58.83.190.154
static.pps.tv                 	61.155.7.66
open.pps.tv                   	211.151.142.29
tv.pps.tv                     	221.204.10.89
auto.pps.tv                   	221.204.10.89
life.pps.tv                   	58.83.190.24
api.pps.tv                    	211.151.142.23
pay.pps.tv                    	211.151.142.28
m2.pps.tv                     	211.151.142.116
d.pps.tv                      	211.151.142.28
book.pps.tv                   	61.155.7.66
health.pps.tv                 	101.227.12.173
so.pps.tv                     	211.151.158.169
t.pps.tv                      	211.151.142.26
2008.pps.tv                   	211.151.142.113
2345.pps.tv                   	211.151.142.113
ns4.pps.tv                    	119.188.145.92
gg.pps.tv                     	10.10.10.10
gl.pps.tv                     	61.155.7.93
l.pps.tv                      	211.151.142.23
y.pps.tv                      	211.151.142.26
tz.pps.tv                     	61.172.196.123
ns2.pps.tv                    	58.215.125.72
ns3.pps.tv                    	220.181.184.180
core.pps.tv                   	211.151.142.103
syslog.pps.tv                 	211.151.142.248
down.pps.tv                   	127.0.0.1
game.pps.tv                   	211.151.142.24
x.pps.tv                      	211.151.158.138
jk.pps.tv                     	60.28.213.153
show.pps.tv                   	211.151.158.138
zz.pps.tv                     	101.227.21.219
bk.pps.tv                     	211.151.142.37
yun.pps.tv                    	58.83.190.34
lm.pps.tv                     	58.83.190.51
wei.pps.tv                    	58.83.190.24
yx.pps.tv                     	58.83.190.55
op.pps.tv                     	58.83.190.86
xc.pps.tv                     	58.83.190.208
vod.pps.tv                    	58.83.190.34
fashion.pps.tv                	60.211.210.231
sub.pps.tv                    	60.29.244.16
qz.pps.tv                     	125.46.57.131
joy.pps.tv                    	211.151.142.112
zhaopin.pps.tv                	58.83.190.154
pai.pps.tv                    	58.83.190.208
epg.pps.tv                    	58.83.190.126
cache.club.pps.tv             	211.151.142.110
bbs.open.pps.tv               	211.151.142.170
api.open.pps.tv               	211.151.142.29
admin.pay.pps.tv              	58.83.190.86
a.pay.pps.tv                  	211.151.142.69
i.book.pps.tv                 	211.151.142.204
admin.so.pps.tv               	211.151.142.195
api.so.pps.tv                 	101.227.12.173
admin.y.pps.tv                	211.151.142.193
cms.core.pps.tv               	10.121.32.126
admin.game.pps.tv             	10.77.33.4, 10.77.33.3
a.game.pps.tv                 	211.151.142.119
passport.game.pps.tv          	58.83.190.32
wiki.game.pps.tv              	10.1.22.196
count.game.pps.tv             	211.151.156.13, 211.151.156.146, 211.151.156.145
stat.game.pps.tv              	211.151.142.131
vip.game.pps.tv               	211.151.156.201
api.yun.pps.tv                	123.125.111.92, 101.227.32.38
s3.op.pps.tv                  	113.31.83.87
s1.op.pps.tv                  	113.31.83.87
api.cms.core.pps.tv           	10.121.32.127
admin.count.game.pps.tv       	211.151.156.13
api.vip.game.pps.tv           	123.125.111.75
