passport.qiyi.com             	211.151.158.140
www.qiyi.com                  	115.25.211.13, 115.25.211.17
app.qiyi.com                  	119.188.145.137, 119.188.145.123, 119.188.145.136, 119.188.145.126, 119.188.145.125, 119.188.145.124
search.qiyi.com               	115.25.211.17, 115.25.211.13
i.qiyi.com                    	123.125.111.84
mail.qiyi.com                 	202.108.14.87
cms.qiyi.com                  	10.10.131.68
top.qiyi.com                  	211.151.156.129, 211.151.156.126, 211.151.156.128, 211.151.156.127
wap.qiyi.com                  	221.179.191.22, 221.179.191.31
m.qiyi.com                    	202.108.14.114
dev.qiyi.com                  	123.125.117.207
star.qiyi.com                 	111.206.22.27, 106.120.150.76
so.qiyi.com                   	211.151.142.225, 211.151.142.226, 211.151.158.169
t.qiyi.com                    	123.125.117.66, 123.125.117.68, 220.181.110.129
labs.qiyi.com                 	202.108.14.114
test.qiyi.com                 	202.108.14.224
vpn.qiyi.com                  	220.181.115.250
mx1.qiyi.com                  	202.108.14.100
feedback.qiyi.com             	123.125.111.84
tj.qiyi.com                   	119.188.145.7, 119.188.145.11, 119.188.145.8, 119.188.145.12, 119.188.145.9, 119.188.145.10
pop3.qiyi.com                 	202.108.14.87
smtp.qiyi.com                 	220.181.115.100
wh.qiyi.com                   	119.188.145.7, 119.188.145.8, 119.188.145.9, 119.188.145.12, 119.188.145.10, 119.188.145.11
sso.qiyi.com                  	10.15.138.141
sou.qiyi.com                  	211.151.142.225, 211.151.142.226, 211.151.158.169
ota.qiyi.com                  	119.188.147.35
port.qiyi.com                 	10.11.50.132, 10.11.50.48
web.mail.qiyi.com             	202.108.14.100
pop.mail.qiyi.com             	220.181.115.100
upload.t.qiyi.com             	123.125.117.71, 220.181.110.131
api.t.qiyi.com                	119.188.147.82, 123.125.111.81
