www.shandagames.com           	61.172.247.44, 61.172.247.45
um.shandagames.com            	61.152.101.93
myhome.shandagames.com        	61.152.101.93
mail.shandagames.com          	61.172.241.68
pay.shandagames.com           	114.80.132.52
dev.shandagames.com           	58.215.45.225
ns1.shandagames.com           	115.182.4.27
api.shandagames.com           	116.211.23.60
hr.shandagames.com            	180.96.41.59
tu.shandagames.com            	116.211.21.223
d.shandagames.com             	116.211.23.69
all.shandagames.com           	61.172.247.45, 61.172.247.44
dns.shandagames.com           	114.80.135.20
ir.shandagames.com            	206.200.251.19
item.shandagames.com          	210.51.28.90
training.shandagames.com      	10.240.248.19
auth.shandagames.com          	58.215.55.151
mx1.shandagames.com           	61.172.241.95
ns.shandagames.com            	114.80.135.20
pop3.shandagames.com          	61.172.241.96
smtp.shandagames.com          	61.172.241.96
sp.shandagames.com            	116.211.23.19
campus.shandagames.com        	180.96.41.59
ns2.shandagames.com           	116.211.21.137
wow.shandagames.com           	222.73.21.45
maillist.shandagames.com      	192.168.122.20
oauth.shandagames.com         	58.215.55.151
ipm.shandagames.com           	210.51.33.213
dev.api.shandagames.com       	116.211.2.133, 116.211.2.132, 116.211.2.131, 116.211.2.130
s.api.shandagames.com         	116.211.23.26
log.api.shandagames.com       	116.211.23.28
auth.api.shandagames.com      	116.211.2.135, 116.211.2.134
