i.shopex.cn                   	60.191.142.22
blog.shopex.cn                	60.191.142.134
club.shopex.cn                	120.55.161.61
www.shopex.cn                 	122.144.135.205
mail.shopex.cn                	27.115.50.211
passport.shopex.cn            	122.144.135.142
app.shopex.cn                 	122.144.135.142
dev.shopex.cn                 	180.169.8.10
groups.shopex.cn              	124.74.193.221
help.shopex.cn                	122.144.135.229
bbs.shopex.cn                 	122.144.135.211
edu.shopex.cn                 	27.115.50.210
pay.shopex.cn                 	60.191.142.134
support.shopex.cn             	122.144.135.229
store.shopex.cn               	123.59.75.129
cc.shopex.cn                  	60.191.141.220
ns1.shopex.cn                 	122.144.135.209
union.shopex.cn               	122.144.135.205
v.shopex.cn                   	122.144.135.144
manage.shopex.cn              	124.74.193.211
id.shopex.cn                  	122.144.135.143
data.shopex.cn                	60.191.142.219
h5.shopex.cn                  	123.59.75.129
cms.shopex.cn                 	180.169.8.10
demo.shopex.cn                	27.115.50.210
faq.shopex.cn                 	123.59.137.21
hosting.shopex.cn             	210.14.65.69
account.shopex.cn             	122.144.135.211
zhidao.shopex.cn              	123.125.65.166
focus.shopex.cn               	124.74.193.211
stat.shopex.cn                	60.191.142.66
bj.shopex.cn                  	124.74.193.119
dc.shopex.cn                  	222.92.116.42
storage.shopex.cn             	222.92.116.42
ec.shopex.cn                  	124.74.193.210
pub.shopex.cn                 	222.92.117.241
mm.shopex.cn                  	122.144.135.131
ns3.shopex.cn                 	120.132.53.214
ns2.shopex.cn                 	103.24.118.174
b2b.shopex.cn                 	222.92.117.241
sso.shopex.cn                 	122.144.135.246
cloud.shopex.cn               	60.191.141.230
git.shopex.cn                 	139.196.31.74
test1.shopex.cn               	101.226.197.133
temp.shopex.cn                	61.162.76.249
nagios.shopex.cn              	124.74.193.119
x.shopex.cn                   	121.196.43.144
list.shopex.cn                	222.66.56.74
dr.shopex.cn                  	60.191.141.220
cacti.shopex.cn               	122.144.135.161
mb.shopex.cn                  	123.59.60.88
zx.shopex.cn                  	123.59.60.88
wei.shopex.cn                 	101.226.202.49
sale.shopex.cn                	122.144.135.199, 122.144.135.198
jh.shopex.cn                  	101.226.202.29
reader.shopex.cn              	60.191.141.146
mf.shopex.cn                  	101.226.197.138
wd.shopex.cn                  	222.73.180.158
acm.shopex.cn                 	110.75.188.143
os.shopex.cn                  	60.191.142.210
fy.shopex.cn                  	122.144.135.144
beian.shopex.cn               	122.144.135.192
f1.shopex.cn                  	60.191.141.230
mirrors.shopex.cn             	122.144.135.154
ccb.shopex.cn                 	101.226.197.138
lic.shopex.cn                 	124.74.193.210
oauth.shopex.cn               	120.132.92.176
jiaju.shopex.cn               	124.74.193.221
portal.id.shopex.cn           	122.144.135.190
bug.bj.shopex.cn              	60.191.142.32
demo.b2b.shopex.cn            	58.215.91.61
test.test1.shopex.cn          	101.226.197.133
1.x.shopex.cn                 	121.196.43.144
test.list.shopex.cn           	222.66.56.74
test2.jh.shopex.cn            	101.226.202.29
test2.wd.shopex.cn            	222.73.180.158
s3.fy.shopex.cn               	121.251.255.237
test2.bug.bj.shopex.cn        	60.191.142.32
test.demo.b2b.shopex.cn       	58.215.91.61
test2.s3.fy.shopex.cn         	121.251.255.237
webht.s3.fy.shopex.cn         	222.23.55.208
system.s3.fy.shopex.cn        	222.23.55.208
