groups.snda.com               	58.215.55.68
ss.snda.com                   	121.14.48.147
kk.snda.com                   	121.14.48.147
i.snda.com                    	58.215.44.16
mail.snda.com                 	118.201.102.108
dev.snda.com                  	58.215.45.225
www.snda.com                  	183.95.189.36
app.snda.com                  	10.241.12.121
pay.snda.com                  	61.151.254.35
member.snda.com               	61.152.98.159
profile.snda.com              	58.215.39.152
bbs.snda.com                  	61.172.241.94
vip.snda.com                  	61.152.98.189
ns1.snda.com                  	115.182.4.27
open.snda.com                 	58.215.45.224
api.snda.com                  	202.102.58.205
hr.snda.com                   	116.211.3.138
root.snda.com                 	192.168.10.16
ir.snda.com                   	60.254.131.64, 60.254.131.55
vpn.snda.com                  	61.172.241.97
gmail.snda.com                	222.73.23.60
security.snda.com             	221.231.128.97
mx1.snda.com                  	61.172.254.137
wiki.snda.com                 	10.241.12.121
ns.snda.com                   	114.80.135.20
apps.snda.com                 	58.215.55.145
register.snda.com             	114.80.132.184
pop3.snda.com                 	180.166.217.19
ns2.snda.com                  	116.211.21.137
smtp.snda.com                 	180.166.217.19
sip.snda.com                  	61.172.241.107
sp.snda.com                   	58.215.45.226
mx2.snda.com                  	61.172.241.68
code.snda.com                 	58.215.45.227
mx3.snda.com                  	118.201.102.98
campus.snda.com               	222.73.2.241
ocs.snda.com                  	61.172.241.108
oc.snda.com                   	61.172.241.108
op.snda.com                   	58.215.44.97
channel.snda.com              	58.215.55.144
esb.snda.com                  	58.215.169.150
admin.dev.snda.com            	58.215.45.230
en.dev.snda.com               	58.215.45.225
admin.open.snda.com           	58.215.45.229
bbs.open.snda.com             	58.215.55.244
en.open.snda.com              	58.215.45.224
test.api.snda.com             	58.215.45.234
vip.api.snda.com              	58.215.45.234
en.code.snda.com              	58.215.45.227
forum.campus.snda.com         	121.14.48.207
admin.channel.snda.com        	58.215.55.126
